#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.600000e+09	 17	     0	     2	3.957531591467106e-04	2.619999999999997e+05	1.940153161076748e+02
5.650000e+09	 17	     0	     2	8.175995842653599e-04	2.639999999999997e+05	8.366321513554764e+02
5.700000e+09	 17	     0	     1	5.998807901693326e-04	2.669999999999997e+05	4.943003067221501e+02
5.750000e+09	 17	     0	    11	1.235718937994026e-03	2.699999999999997e+05	1.720982240997012e+02
5.800000e+09	 17	     0	     4	2.159117339988202e-03	2.719999999999997e+05	8.591537763511836e+02
5.850000e+09	 17	     0	     4	2.437918415053248e-03	2.749999999999997e+05	5.461771191814645e+02
5.900000e+09	 17	     0	    13	1.494275157375399e-03	2.779999999999997e+05	2.232855104768275e+02
5.950000e+09	 17	     0	    10	6.994947156947956e-04	2.799999999999997e+05	8.994208356473937e+02
6.000000e+09	 17	     0	     1	6.962421359194486e-04	2.829999999999997e+05	5.765046129608129e+02
6.050000e+09	 17	     0	     5	6.112802026210675e-04	2.859999999999997e+05	2.494047067038207e+02
6.100000e+09	 17	     0	     8	3.119851906230401e-03	2.879999999999997e+05	9.075003700772942e+02
6.150000e+09	 17	     0	    14	1.102271945424844e-03	2.909999999999997e+05	5.394106903787233e+02
6.200000e+09	 17	     0	     6	4.243345703519996e-04	2.939999999999997e+05	1.489149354889087e+02
6.250000e+09	 17	     0	    10	6.532787455782725e-04	2.959999999999997e+05	7.932929680271976e+02
6.300000e+09	 17	     0	    15	1.695697899684480e-03	2.989999999999997e+05	4.287275033448654e+02
6.350000e+09	 17	     0	     5	7.824577546771753e-04	3.019999999999997e+05	7.026825490979097e+01
6.400000e+09	 17	     0	     9	1.141072724469864e-03	3.039999999999997e+05	7.101765331608100e+02
6.450000e+09	 17	     0	     2	4.162472205686499e-04	3.069999999999996e+05	3.472243703374958e+02
6.500000e+09	 17	     0	    17	8.801574572761886e-04	3.089999999999996e+05	9.557731124129172e+02
6.550000e+09	 17	     0	    16	2.575799241487135e-03	3.119999999999996e+05	5.614741261360793e+02
6.600000e+09	 17	     0	     1	4.799458767761302e-04	3.149999999999996e+05	1.653675700034526e+02
6.650000e+09	 17	     0	    12	1.187628249724258e-03	3.169999999999996e+05	7.672804449521627e+02
6.700000e+09	 17	     0	    17	1.221353850416449e-03	3.199999999999996e+05	3.576286749473479e+02
6.750000e+09	 17	     0	     6	7.556725205998196e-04	3.219999999999996e+05	9.289466475444405e+02
6.800000e+09	 17	     0	     2	4.359750580768525e-04	3.249999999999996e+05	4.861598003299138e+02
6.850000e+09	 17	     0	    17	9.326698122054332e-04	3.279999999999996e+05	6.167698168339746e+01
6.900000e+09	 17	     0	    14	1.759068611080803e-03	3.299999999999996e+05	6.364969121570952e+02
6.950000e+09	 17	     0	    10	7.136122448545142e-04	3.329999999999996e+05	2.031919595822318e+02
7.000000e+09	 17	     0	    13	1.480777906296428e-03	3.349999999999996e+05	7.653265699296004e+02
7.050000e+09	 17	     0	     6	2.796766237612501e-04	3.379999999999996e+05	3.245740409408557e+02
7.100000e+09	 17	     0	     9	4.338448927310394e-04	3.399999999999996e+05	8.470113559059271e+02
7.150000e+09	 17	     0	     5	7.474549115651596e-04	3.429999999999996e+05	3.507906195988064e+02
7.200000e+09	 17	     0	     3	3.179596382739230e-04	3.449999999999996e+05	8.622574801061986e+02
7.250000e+09	 17	     0	    10	7.680599854623716e-04	3.479999999999996e+05	3.805538360793180e+02
7.300000e+09	 17	     0	    17	9.630621556893725e-04	3.499999999999996e+05	8.767520528105659e+02
7.350000e+09	 17	     0	     5	7.892660710799659e-04	3.529999999999996e+05	3.571338425961931e+02
7.400000e+09	 17	     0	     3	3.371564970640140e-04	3.549999999999996e+05	8.459596914897999e+02
7.450000e+09	 17	     0	    10	6.733120456194854e-04	3.579999999999996e+05	3.277491271838754e+02
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
7.500000e+09	 17	     0	     1	3.915526164371064e-04	3.599999999999996e+05	7.702361491183385e+02
7.550000e+09	 17	     0	     6	3.386757000265098e-04	3.629999999999996e+05	2.302676623040859e+02
7.600000e+09	 17	     0	     9	9.582751309553676e-04	3.649999999999996e+05	7.075602207529902e+02
7.650000e+09	 17	     0	     7	1.777843774200224e-03	3.679999999999996e+05	1.765991931756136e+02
7.700000e+09	 17	     0	    12	1.280185685946667e-03	3.699999999999996e+05	6.236863797409079e+02
7.750000e+09	 17	     0	     1	3.791845067338811e-04	3.729999999999996e+05	8.441017718257201e+01
7.800000e+09	 17	     0	     6	3.284113812549537e-04	3.749999999999995e+05	5.552373924216097e+02
7.850000e+09	 17	     0	     2	6.335431767623996e-04	3.779999999999995e+05	2.985389231631425e+01
7.900000e+09	 17	     0	     6	2.579560992837212e-04	3.799999999999995e+05	5.054852147583402e+02
7.950000e+09	 17	     0	     1	5.265681151233211e-04	3.819999999999995e+05	9.878428264235207e+02
8.000000e+09	 17	     0	     5	8.222883479277579e-04	3.849999999999995e+05	4.833331080502360e+02
8.050000e+09	 17	     0	     5	9.842475326758543e-04	3.869999999999995e+05	9.926238622148439e+02
8.100000e+09	 17	     0	     5	7.508655176634705e-04	3.899999999999995e+05	5.107752068013167e+02
8.150000e+09	 17	     0	    10	1.224154650101823e-03	3.929999999999995e+05	3.502218215684006e+01
8.200000e+09	 17	     0	    13	1.019918376903781e-03	3.949999999999995e+05	5.847828203458492e+02
8.250000e+09	 17	     0	    17	9.230752637019779e-04	3.979999999999995e+05	1.444346106968148e+02
8.300000e+09	 17	     0	     2	4.541096747300476e-04	3.999999999999995e+05	6.921050187894587e+02
8.350000e+09	 17	     0	     6	5.358526598222384e-04	4.029999999999995e+05	2.225574451253586e+02
8.400000e+09	 17	     0	     1	3.642718211935049e-04	4.049999999999995e+05	7.446949992371143e+02
8.450000e+09	 17	     0	     2	5.939512243855076e-04	4.079999999999995e+05	2.431508870003436e+02
8.500000e+09	 17	     0	     3	3.008295220099768e-04	4.099999999999995e+05	7.343320322592795e+02
8.550000e+09	 17	     0	     3	3.840394492545205e-04	4.129999999999995e+05	2.509757626234872e+02
8.600000e+09	 17	     0	     2	3.494278370329848e-04	4.149999999999995e+05	7.852265066880326e+02
8.650000e+09	 17	     0	    16	1.823401960524954e-03	4.179999999999995e+05	3.062786132865325e+02
8.700000e+09	 17	     0	     1	5.852215886072585e-05	4.199999999999995e+05	8.156976098769654e+02
8.750000e+09	 17	     0	    16	2.043142855611591e-03	4.229999999999995e+05	2.924554923038887e+02
8.800000e+09	 17	     0	    14	2.762606043344320e-03	4.249999999999995e+05	7.612467954009709e+02
8.850000e+09	 17	     0	     5	8.367366818216143e-04	4.279999999999995e+05	2.302610624894480e+02
8.900000e+09	 17	     0	    17	1.011005499680567e-03	4.299999999999995e+05	7.068737774322138e+02
