myid = 2	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/rand03/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E2_t1E8_dtlog_Mtot3E-7_Mmax5E-15_ecc5E-2_nofrag_acc/
N_tr	100
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E7
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	1
ETA	3.0E-2
ITE_MAX	2
SOLAR_RADIUS	0.00465040106951872
SOLAR_SYSTEM_LIMIT	100.0
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-7*1)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E8)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
6.400000e+08	  1	    97	    42	6.730469500692325e-03	2.371373705661650e+04	5.935279039016971e+03
6.500000e+08	  1	    97	     9	4.622755831166577e-03	2.371373705661650e+04	6.401378203772096e+03
6.600000e+08	  1	    97	    79	4.183145110313062e-03	2.371373705661650e+04	6.866280915609982e+03
6.700000e+08	  1	    97	     1	3.977921276362283e-03	2.371373705661650e+04	7.331219198372410e+03
6.800000e+08	  1	    97	    36	3.500148482331831e-03	2.371373705661650e+04	7.795428416982329e+03
6.900000e+08	  1	    97	    24	1.247622505569200e-02	3.162277660168372e+04	3.515611927159395e+02
7.000000e+08	  1	    97	    68	8.165720817261853e-03	3.162277660168372e+04	8.166202845817536e+02
7.100000e+08	  1	    97	    86	5.064778898132519e-03	3.162277660168372e+04	1.282664045042976e+03
7.200000e+08	  1	    97	    52	6.546212874862295e-03	3.162277660168372e+04	1.748859029853316e+03
7.300000e+08	  1	    97	    67	5.591136957654593e-03	3.162277660168372e+04	2.215697076102672e+03
7.400000e+08	  1	    97	    80	3.360376771908672e-03	3.162277660168372e+04	2.682826803555483e+03
7.500000e+08	  1	    97	     1	5.920895038331879e-03	3.162277660168372e+04	3.148677738834669e+03
7.600000e+08	  1	    97	     8	4.563021435867997e-03	3.162277660168372e+04	3.612550555708412e+03
7.700000e+08	  1	    97	    22	3.767555197515565e-03	3.162277660168372e+04	4.076429568372962e+03
7.800000e+08	  1	    97	    16	4.479924364263067e-03	3.162277660168372e+04	4.541631830797889e+03
7.900000e+08	  1	    97	    43	3.939234046006307e-03	3.162277660168372e+04	5.006107141156883e+03
8.000000e+08	  1	    97	    85	6.379508911393394e-03	3.162277660168372e+04	5.469883511868447e+03
8.100000e+08	  1	    97	    29	4.341512369604656e-03	3.162277660168372e+04	5.933429579260843e+03
8.200000e+08	  1	    97	    93	3.928130019364878e-03	3.162277660168372e+04	6.396381387089285e+03
8.300000e+08	  1	    97	    33	3.124909350518049e-03	3.162277660168372e+04	6.859685112595605e+03
8.400000e+08	  1	    97	    34	4.191889913464608e-03	3.162277660168372e+04	7.322654472169776e+03
8.500000e+08	  1	    97	    76	2.742552812209773e-03	3.162277660168372e+04	7.786477585985572e+03
8.600000e+08	  1	    97	    79	6.753454800625529e-03	3.162277660168372e+04	8.251371529053320e+03
8.700000e+08	  1	    97	     1	4.192657877799238e-03	3.162277660168372e+04	8.714651023364335e+03
8.800000e+08	  1	    97	    79	2.614766814295340e-03	3.162277660168372e+04	9.178214495309892e+03
8.900000e+08	  1	    97	    74	3.451568376261677e-03	3.162277660168372e+04	9.641954106058121e+03
collision No.4	4.148393e+04[yr]	i=1, j=6	r_ij=5.713576116638229e-05	radius[1]+radius[6]=5.741658915724514e-05
dE_heat=-1.674274e-10	dE_grav=1.579921e-10	dE_c=9.551931e-18	v_imp=3.342597e-01
9.000000e+08	  1	    96	    41	4.881506083000838e-03	3.162277660168372e+04	1.010711047278495e+04
9.100000e+08	  1	    96	    10	4.550222020267818e-03	4.216965034285812e+04	2.731367278503220e+01
9.200000e+08	  1	    96	    62	4.811732443953197e-03	4.216965034285812e+04	4.944391758051802e+02
9.300000e+08	  1	    96	    33	6.603270426604454e-03	4.216965034285812e+04	9.609652185737658e+02
collision No.5	4.357258e+04[yr]	i=1, j=82	r_ij=5.719243489248466e-05	radius[1]+radius[82]=5.743393189452369e-05
dE_heat=-1.619736e-10	dE_grav=1.579929e-10	dE_c=-4.634579e-18	v_imp=3.287704e-01
9.400000e+08	  1	    95	    62	3.247749401457219e-03	4.216965034285812e+04	1.429719483917964e+03
9.500000e+08	  1	    95	    25	4.811505480627655e-03	4.216965034285812e+04	1.903110377893139e+03
9.600000e+08	  1	    95	    32	3.840883237064925e-03	4.216965034285812e+04	2.377280527489761e+03
9.700000e+08	  1	    95	    69	3.311878813006500e-03	4.216965034285812e+04	2.852426654274180e+03
collision No.6	4.522373e+04[yr]	i=1, j=84	r_ij=5.736814659938827e-05	radius[1]+radius[84]=5.745126311986035e-05
dE_heat=-1.651493e-10	dE_grav=1.576659e-10	dE_c=-3.739970e-18	v_imp=3.319775e-01
9.800000e+08	  1	    94	     7	4.436150459537120e-03	4.216965034285812e+04	3.331898017892110e+03
9.900000e+08	  1	    94	    62	3.871862305778255e-03	4.216965034285812e+04	3.814773214283453e+03
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.000000e+09	  1	    94	     5	4.182191590235003e-03	4.216965034285812e+04	4.297065021497276e+03
1.010000e+09	  1	    94	    82	4.025988221146252e-03	4.216965034285812e+04	4.777845671977342e+03
1.020000e+09	  1	    94	    94	4.979051908277374e-03	4.216965034285812e+04	5.258487110943214e+03
1.030000e+09	  1	    94	    51	7.049617715422139e-03	4.216965034285812e+04	5.740492010790467e+03
1.040000e+09	  1	    94	    66	4.472253455284909e-03	4.216965034285812e+04	6.222811735452033e+03
1.050000e+09	  1	    94	    13	4.477880857910394e-03	4.216965034285812e+04	6.703894889381399e+03
1.060000e+09	  1	    94	    41	5.257765345341054e-03	4.216965034285812e+04	7.184981731814129e+03
1.070000e+09	  1	    94	    20	7.071916405493549e-03	4.216965034285812e+04	7.662839433042807e+03
1.080000e+09	  1	    94	    74	4.964169548204370e-03	4.216965034285812e+04	8.139725710872237e+03
1.090000e+09	  1	    94	    55	5.424686794166273e-03	4.216965034285812e+04	8.618897016727477e+03
1.100000e+09	  1	    94	    11	5.916708296045142e-03	4.216965034285812e+04	9.097546315448133e+03
1.110000e+09	  1	    94	    27	6.531733783725253e-03	4.216965034285812e+04	9.575844425959285e+03
1.120000e+09	  1	    94	    80	4.006909608630645e-03	4.216965034285812e+04	1.005196065100125e+04
1.130000e+09	  1	    94	    38	4.452380166487494e-03	4.216965034285812e+04	1.052940883206554e+04
1.140000e+09	  1	    94	    19	8.317320293784935e-03	4.216965034285812e+04	1.100570663280545e+04
1.150000e+09	  1	    94	    25	3.519353294809078e-03	4.216965034285812e+04	1.148402770250198e+04
1.160000e+09	  1	    94	    53	4.193891822126978e-03	4.216965034285812e+04	1.196137111636509e+04
1.170000e+09	  1	    94	    17	3.388365171776928e-03	4.216965034285812e+04	1.243726303002675e+04
1.180000e+09	  1	    94	    67	3.649492221072329e-03	4.216965034285812e+04	1.291247183617658e+04
1.190000e+09	  1	    94	    25	2.835382013075471e-03	4.216965034285812e+04	1.338801333472566e+04
1.200000e+09	  1	    94	    37	4.470657211329348e-03	4.216965034285812e+04	1.386423430640519e+04
1.210000e+09	  1	    94	    50	7.716262279914921e-03	5.623413251903477e+04	2.756697516653398e+02
1.220000e+09	  1	    94	    83	4.352571447368149e-03	5.623413251903477e+04	7.524428343478812e+02
1.230000e+09	  1	    94	    54	2.240609493148036e-03	5.623413251903477e+04	1.228517115147429e+03
1.240000e+09	  1	    94	    80	4.352445632330051e-03	5.623413251903477e+04	1.705128511527606e+03
1.250000e+09	  1	    94	    14	3.521913312524694e-03	5.623413251903477e+04	2.183327002389936e+03
1.260000e+09	  1	    94	    73	3.081729455792891e-03	5.623413251903477e+04	2.662244170818242e+03
